订单金额,退款金额,退款类型,备注,退款状态（填入：同意或审核中）,申请时间,商品名称,汉购网订单编号（请保留*）,汉购网商品ID,分销用户名,分销订单编号,分销商品ID,退款图片(多个图片用逗号隔开)
135.8,135.8,买卖双方协商一致,,同意,2017/1/20 17:10,鲁花5S一级压榨花生油 非转基因食用油5L【鲁花正品保证】,*170301050066423001,100213,juanpi,*3255368014883132737,*680539030,http://t08img.yangkeduo.com/images/2018-03-05/bc1dab01dd0fd70c8bde6a6bb7cf6f55.jpeg
,,,,,,,,,,,,
,,,,,,,,,,,,
说明：,,,,,,,,,,,,
退款导入支持汉购网订单编号和分销订单编号两种模式,,,,,,,,,,,,
使用汉购网订单编号模式时汉购网商品ID必填,,,,,,,,,,,,
使用分销订单编号模式时分销用户名必填分销商品ID选填,,,,,,,,,,,,
"分销商品ID未填,则默认整单退款",,,,,,,,,,,,
分销平台,分销用户名,,,,,,,,,,,
拼多多,pinduoduo,,,,,,,,,,,
有赞,youzan,,,,,,,,,,,
人人点,renrendian,,,,,,,,,,,
老汉购网,oldhango,,,,,,,,,,,
返利,fanli,,,,,,,,,,,
折800,zhe800,,,,,,,,,,,
格格家,gegejia,,,,,,,,,,,
萌店,mengdian,,,,,,,,,,,
淘宝,taobaofx,,,,,,,,,,,
卷皮,juanpi,,,,,,,,,,,
小毛驴,xiaomaolv,,,,,,,,,,,
绿景农场,lvjingnongchang,,,,,,,,,,,
楚楚街,chuchujie,,,,,,,,,,,
汉贵人,hanguiren,,,,,,,,,,,
楚楚街拼划算,chuchujiephs,,,,,,,,,,,
寻食者说,xunshizheshuo,,,,,,,,,,,
汉购网分销,hangofx,,,,,,,,,,,
原野农业,yuanyenongye,,,,,,,,,,,
梧桐猫,wutongmao,,,,,,,,,,,
合中味道,hzwd,,,,,,,,,,,
